,Dataset,Time,Detector/Descriptor
0,MAP Dataset,906.1804861199998,AGAST+SIFT
1,MAP Dataset,147.27721140800008,FAST+SIFT
2,MAP Dataset,1039.174159185,BRISK+FREAK
3,MAP Dataset,207.21704726400003,SURF
4,MAP Dataset,317.69533843299905,SIFT
