,Dataset,Time,Detector/Descriptor
0,MAP Dataset,519.2140878629998,AGAST+SIFT
1,MAP Dataset,376.6250123049999,FAST+SIFT
2,MAP Dataset,656.1157048089999,BRISK+FREAK
3,MAP Dataset,683.06627329,SURF
4,MAP Dataset,735.6860939310009,SIFT
